batch_no,created_date,customer,due_date,file_name,file_stem,item,item_code,match_status,notes,print_type,roll_type,sheet_name,total_kgs,total_mts,total_rolls
SAMPLE,2020-07-14,PRO PAC,,PB450G30035WHUVH.xlsx,PB450G30035WHUVH,PB450G45035WHUVV,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,7.0875,243.00000000000003,1.0
58318,2025-06-02,QLD HEALTH/RAMSAY,2025-03-26,PB450G60030VPGW.xlsx,PB450G60030VPGW,PB450G60030AS0VP,VPGW,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,Random Print,,Sheet1,324.0,12960.0,10.0
951812/951638,2026-04-20,EPICUREAN,,PB45561035BT.xlsx,PB45561035BT,PB45561035BTAS0,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,1243.424,42163.200000000004,30.0
949379,2026-03-16,EPICUREAN,,PB45561035PT.xlsx,PB45561035PT,PB45561035PTAS0,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,582.855,19764.0,10.0
948798,2024-11-19,HOLIDAY HIRING SERVICE,,PB45561035V - L24V.xlsx,PB45561035V - L24V,PB45561035AS0V,L24V,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,582.855,19764.0,14.0
939694,2021-02-25,ABL DISTRIBUTION,2021-03-18,PB45561050AS -QP12.xlsx,PB45561050AS -QP12,PB45561050AS,QP12,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,83.265,1976.4,4.0
949990,2025-06-18,BURWELL TECH,2025-06-06,PB45591050.xlsx,PB45591050,PB4559851500,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,107.56200000000001,851.0400000000001,3.0
950856/951020,2026-02-26,BLACKWOODS,,PB460460100.xlsx,PB460460100,PB460600100,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,1518.0000000000002,17820.0,12.0
951583,2026-02-25,SAXON AGENCIES,2025-04-22,PB46076030MBDE - BAG INSERT MEDIUM.xlsx,PB46076030MBDE - BAG INSERT MEDIUM,PB46076030BR0AS,BAG INSERT MEDIUM,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,209.76000000000002,8208.0,6.0
946782,,HT CONCEPTS,,PB470G410150BKUV - 20L SQUAT PLANTER BAG.xlsx,PB470G410150BKUV - 20L SQUAT PLANTER BAG,PB470G410150BKUVV,20LT SQUAT BAGS,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,289.05,2214.0,18.0
950212,2026-02-24,HT CONCEPTS,2025-07-11,PB470G465150BKUV - 25L STANDARD PLANTER BAG.xlsx,PB470G465150BKUV - 25L STANDARD PLANTER BAG,PB470G465150BKUVV,25L STANDARD PLANTER BAG,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,327.82500000000005,2511.0,8.0
948272,,FERNLAND AGENCIES,,PB475G430150BKUV.xlsx,PB475G430150BKUV,PB475G430150BKUVV,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,367.65000000000003,2786.4,14.0
949238,2025-06-27,DEPT AG&FISHERIES,2025-01-27,PB48052050.xlsx,PB48052050,PB480520500,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,174.72,3931.2000000000003,5.0
937561,2020-06-18,LATCO,,PB50030060WH.xlsx,PB50030060WH,PB50030060WH,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,234.00000000000003,4212.0,8.0
948967,2025-06-30,PRO-PAC,2024-12-02,PB50060050BT.xlsx,PB50060050BT,PB50060050BT00,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,300.00000000000006,6480.0,10.0
948967,2025-06-30,PRO-PAC,2024-12-02,PB50060050PINK TINT.xlsx,PB50060050PINK TINT,PB50060050PTAS0,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,150.00000000000003,3240.0,4.0
948967,2025-06-30,PRO-PAC,2024-12-02,PB50060050RT.xlsx,PB50060050RT,PB50060050RTAS0,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,150.00000000000003,3240.0,10.0
938867,2020-11-10,HYQUAL,,PB50070035-HYQUAL.xlsx,PB50070035-HYQUAL,PB50070035,500/70035,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,73.5,2268.0,3.0
937556,2020-06-23,TOTALLY WORKWEAR,2020-07-19,PB50070050WHP - TOTALLY WORKWEAR.xlsx,PB50070050WHP - TOTALLY WORKWEAR,PB50060050WHP,BOUTIQUE BAG,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,Random Print,,Sheet1,480.00000000000006,10368.0,12.0
936392,2020-02-19,COASTLINE PRODUCE,,PB50070060-TS.xlsx,PB50070060-TS,PB50070060,10KG BAG,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,126.0,2268.0,4.0
938794,2020-10-27,SMART CRETE FLOORS,2020-12-02,PB50090075.xlsx,PB50090075,PB50090075,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,334.125,4811.400000000001,10.0
945556,2023-05-11,AQUARIUMS ALIVE,2023-06-10,PB500G50050WHHP AQUARIUMS ALIVE.xlsx,PB500G50050WHHP AQUARIUMS ALIVE,PB500G50050WHVP,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,Registered Print,,Sheet1,125.00000000000001,2700.0,4.0
950378,2025-08-05,MAROOCHY SAND,,PB500G685150.xlsx,PB500G685150,PB500G685150ABUV,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,143.85,1035.72,5.0
950648/950986/951663,2026-03-04,GROUP LINEN,2026-03-25,PB50881538.xlsx,PB50881538,PB50881538AS0,QP8,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,212.39226000000002,5941.35,10.0
951587,2026-02-25,MINEMECH,2026-04-27,PB510760200.xlsx,PB510760200,PB5107602000,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,465.12,2462.4,4.0
947563,2024-03-15,AUSTRAL BUS MACHINES,2024-03-20,PB51076035.xlsx,PB51076035,PB510760350AS,M30,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,108.52800000000002,3283.2000000000003,3.0
947753,2024-05-09,OCEAN LIFE EDUCATION,,PB510915120.xlsx,PB510915120,PB5109151200,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,246.3912,2174.04,6.0
SAMPLE,2024-02-08,ARTISAN LABS,,PB510G66030BL - ARTISIAN LABS.xlsx,PB510G66030BL - ARTISIAN LABS,PB510G66040GR,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,6.732,178.20000000000002,1.0
950623,2025-10-02,MATER/SUN UNI HOSP,,PB510G66030YP - YCW20208.xlsx,PB510G66030YP - YCW20208,PB510G66030YP,YCW20208,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,Random Print,,Sheet1,151.47,5346.0,5.0
943011,,QUANT TECHNOLOGIES,,PB525800150PWH QUANT.xlsx,PB525800150PWH QUANT,PB525800150WHP,Batch No,unmatched,DO NOT GO UNDER GAUGE TOLERANCE - MUST BE SOLID WHITE - MUST HAVE GOOD SEALS - ONLY EXTRUDE ON 45 - NO CREASING IN ROLLS,Registered Print,,Sheet1,2351.9999999999995,17280.0,50.0
Due Date,,QUANT TECHNOLOGIES,,PB525910150WH.xlsx,PB525910150WH,PB525910150WH,Batch No,unmatched,DO NOT GO UNDER GAUGE TOLERANCE - MUST BE SOLID WHITE - MUST HAVE GOOD SEALS - ONLY EXTRUDE ON 45 - NO CREASING IN ROLLS,None,,Sheet1,859.95,5896.8,25.0
940896,2021-07-30,HI Q JAPAN,2021-08-30,PB55060050WHPH - HI Q JAPAN.xlsx,PB55060050WHPH - HI Q JAPAN,PB55060050WHP,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,Registered Print,,Sheet1,115.50000000000001,2268.0,5.0
936809,2020-03-30,MACKAY CLEANING,2020-04-20,PB55080075.xlsx,PB55080075,PB55080075,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,165.0,2160.0,6.0
949253,2025-02-03,NORTHSIDE CLEANING,,PB560101520MDAS.xlsx,PB560101520MDAS,PB560101520MDAS,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,170.52000000000004,5481.0,5.0
950081,2025-06-06,KENNETH DELLIT,,PB560G480150BKUVV-KENNETH.xlsx,PB560G480150BKUVV-KENNETH,PB560G480150WHUV0V,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,451.58400000000006,2903.04,12.0
945945,2023-06-21,HT CONCEPTS,,PB565G490150BKUV - 35L PLANTER BAG.xlsx,PB565G490150BKUV - 35L PLANTER BAG,PB565G490150BKUVV,35L PLANTER BAG,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,498.33,3175.2000000000003,14.0
941702,2021-10-18,PRO PLASTER,,PB575G67545.xlsx,PB575G67545,PB575G67545,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,698.625,14580.000000000002,18.0
944013,2022-08-25,DAF WACOL,2022-09-15,PB580700150.xlsx,PB580700150,PB58061050UV,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,176.90000000000003,3294.0,5.0
949468,2025-05-15,HT CONCEPTS,,PB580G560150BKUV - 45L STANDARD PLANTER BAG.xlsx,PB580G560150BKUV - 45L STANDARD PLANTER BAG,PB580G560150BKUVV,45L STANDARD PLANTER,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,204.62400000000005,1270.0800000000002,5.0
949181,2025-01-06,RAMSAY,2024-03-06,PB580G71030V - CL40404 VENTED.xlsx,PB580G71030V - CL40404 VENTED,PB580G710300AS,VENTED CL40404,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,370.62,11502.0,10.0
942305,2022-03-14,BIDFOOD,,PB585150060.xlsx,PB585150060,PB585150060,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,526.5,8100.000000000001,13.0
940472,2021-06-07,ABL DISTRIBUTION,2021-06-28,PB600500150.xlsx,PB600500150,PB600500150,Batch No,unmatched,******NEW ITEM ****** MUST NOT HAVE BURN UP - MATERIAL MUST NOT BE SPLITTY -,None,,Sheet1,450.0,2700.0,12.0
57943,2024-07-10,WHITE CROSS FIRST AID,2024-07-20,PB600900150.xlsx,PB600900150,PB6009001000,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,54.0,486.00000000000006,2.0
941879,2021-11-10,ATP SCIENCE,,PB60090075.xlsx,PB60090075,PB60090075,Batch No,unmatched,NEW CUSTOMER & NEW ITEM PLEASE ENSURE NO CREASING AND GOOD SEALS - FOOD GRADE,None,,Sheet1,60.75000000000001,729.0,2.0
938266,2020-08-31,KENNETH M DELLIT,2020-09-21,PB600G520150BKUVV.xlsx,PB600G520150BKUVV,PB600G520140BKUVV,PB600G520150BKUVV,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,262.08,1684.8000000000002,8.0
943174,2022-05-09,CHILDRENS HEALTH,,PB600G550150BK.xlsx,PB600G550150BK,PB600G550140BK,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,92.4,594.0,3.0
941980,2023-08-28,PLANTLINE NURSERIES,,PB600G590150WHUVV.xlsx,PB600G590150WHUVV,PB600G590180WHUVV,45L WHITE PLANTER BAG,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,637.2,3186.0,16.0
941411,2021-09-21,TUFFTEX,2021-10-21,PB600G60070GPH.xlsx,PB600G60070GPH,PB600G600700P,Batch No,unmatched,NEW CUSTOMER - NEW ITEM PLEASE DOUBLE CHECK PRINT AND HANDLE - DIE CUT HANDLE -,Registered Print,,Sheet1,113.4,1458.0,4.0
942971,2025-08-04,MATER TOWNSVILLE,,PB600G75030BK - 217.xlsx,PB600G75030BK - 217,PB600G75030BK0AS,217,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,1080.0,32400.000000000004,28.0
951075,2026-02-13,INDUSTRIAL DECONTAM,2025-04-21,PB610740100YP - CONTAMINATED GARMENTS.xlsx,PB610740100YP - CONTAMINATED GARMENTS,PB610740100YAS0P,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,Random Print,,Sheet1,902.8000000000001,7992.000000000001,24.0
947978,2024-08-01,BLACKWOODS,,PB610910200P - ASBESTOS REMOVAL.xlsx,PB610910200P - ASBESTOS REMOVAL,PB6109102000P,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,Random Print,,Sheet1,222.04,982.8000000000001,7.0
948967,2025-06-30,PRO-PAC,,PB63097050GT.xlsx,PB63097050GT,PB63097050GT0AS,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,244.44000000000003,4190.400000000001,8.0
950459,2025-08-12,MATER & ENWARE,2022-09-08,PB640G90075PLI - LCW50421.xlsx,PB640G90075PLI - LCW50421,PB640G90075LIP,LCW50421,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,Random Print,,Sheet1,345.6,3888.0000000000005,9.0
951640,2026-03-12,ESSSA,2026-05-12,PB640G90075Y.xlsx,PB640G90075Y,PB640G90075Y0,Batch No,unmatched,MUST BE EXCELLENT PRESENTATION BAGS MUST NOT BE BLOCKED!! CUSTOMER WILL REJECT,None,,Sheet1,129.60000000000002,1458.0,4.0
936577,2020-03-05,SAXON AGENCIES,2020-04-05,PB650105030BDE.xlsx,PB650105030BDE,PB650105030BBDAS,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,98.28,2721.6000000000004,4.0
950391,2025-07-30,SAXON AGENCIES,2025-08-20,PB650105030MBDE - BAG INSERT LARGE.xlsx,PB650105030MBDE - BAG INSERT LARGE,PB650105030BR0AS,BAG INSERT LARGE,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,163.8,4536.0,5.0
945554,2023-06-27,MOD PLAS,,PB65075050AS-VAC FORMING.xlsx,PB65075050AS-VAC FORMING,PB65075050AS,BAG BC,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,146.25,2430.0,4.0
950418,2025-08-07,BLACKWOODS,2025-09-05,PB66096550.xlsx,PB66096550,PB635900100AS0,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,228.6,1944.0000000000002,8.0
950596,2025-11-19,LUCIA CHOCOLATES,,PB660G60035.xlsx,PB660G60035,PB660G60035AS0,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,180.18000000000004,4212.0,5.0
946671-2,2025-12-24,GOLD COAST MARINE,,PB670G49080GT - GOLD COAST MARINE.xlsx,PB670G49080GT - GOLD COAST MARINE,PB670G49080GTAS0,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,4202.240000000001,42336.0,90.0
942267,2022-02-28,MATER TOWNSVILLE,,PB680900150WH.xlsx,PB680900150WH,PB680900150WH,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,183.60000000000002,972.0000000000001,5.0
57966,2026-01-15,NUTWORKS & THOMPSON,2024-11-04,PB68591035 - O36.xlsx,PB68591035 - O36,PB685910350AS,O36,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,261.807,5896.8,8.0
942267,2025-08-12,ENWARE NSW,2025-09-02,PB700G102075PU - LCW77521.xlsx,PB700G102075PU - LCW77521,PB700G102075LIWH0P,LCW77521,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,Random Print,,Sheet1,214.20000000000002,2203.2000000000003,6.0
57522,2024-02-16,EPICUREAN,,PB705G45535BT.xlsx,PB705G45535BT,PB705G45535BTAS0,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,336.81375,7371.000000000001,9.0
951583,2026-02-25,SAXON AGENCIES,2020-04-05,PB740135030BDE.xlsx,PB740135030BDE,PB740135030BBDAS,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,611.388,14871.6,4.0
943697,2024-04-29,ZEBRA VET,2022-08-19,PB740135030MBDE - BAG INSERT XL.xlsx,PB740135030MBDE - BAG INSERT XL,PB740135030BR0AS,BAG INSERT XL,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,203.796,4957.200000000001,5.0
951583,2026-04-20,DAY WALK,,PB750800100UVP - DAYWALK - 12-BUV3032.xlsx,PB750800100UVP - DAYWALK - 12-BUV3032,PB7508001000UVP,12-BUV3032,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,Random Print,,Sheet1,720.0,5184.0,7.0
941718,2021-10-27,DYNAMIX PLUMBING,2021-11-27,PB750G1020125V.xlsx,PB750G1020125V,PB7501080100,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,113.4,816.48,7.0
937499,2020-06-30,OCEAN PETS,2020-07-11,PB7527550.xlsx,PB7527550,PB7527550,Batch No,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,57.75000000000001,8316.0,7.0
948573,2024-11-21,PRINCE CHARLES HSP,2024-11-05,PB76090030BK - 119530.xlsx,PB76090030BK - 119530,PB76090030BKAS,119530,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,225.72000000000003,5346.0,8.0
951472,2026-02-13,QLD HEALTH,,PB760G100030VPGW.xlsx,PB760G100030VPGW,PB760G100030AS0VP,VPGW,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,Random Print,,Sheet1,228.0,5400.0,32.0
950692,2025-10-17,DOCUMENT DYNAMIX,2025-11-06,PB770G100030P - ISBS4.xlsx,PB770G100030P - ISBS4,PB770G100030AS0P,REORDER CODE: ISBS450,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,Random Print,,Sheet1,762.3000000000001,17820.0,20.0
937208,2020-06-15,X02,2020-06-01,PB770G110045R - 239 RED LAUNDRY BAG.xlsx,PB770G110045R - 239 RED LAUNDRY BAG,PB770G110045R,239: RED LAUNDRY BAG,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,564.102,8791.2,14.0
947432,2024-04-12,DOCUMENT DYNAMIX,2024-03-20,PB770G75030P - ISBSS4.xlsx,PB770G75030P - ISBSS4,PB770G750300ASP,REORDER CODE: ISBSS450,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,Random Print,,Sheet1,623.7,14580.000000000002,15.0
58321,2026-01-15,RAMSAY/FRIENDLY,,PB770G95060 - CL75521C.xlsx,PB770G95060 - CL75521C,PB770G950600,CL75521C,unmatched,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,None,,Sheet1,877.8,10260.0,20.0
